HomeTeam,AwayTeam,Penalties,Date,Time,Year,Home Team Goals,Away Team Goals,Total Goals Scored
Argentina,Bulgaria,[],30 May 1962,15:00,1962,1,0,1
Hungary,England,[],31 May 1962,15:00,1962,2,1,3
England,Argentina,[],2 June 1962,15:00,1962,3,1,4
Hungary,Bulgaria,[],3 June 1962,15:00,1962,6,1,7
Hungary,Argentina,[],6 June 1962,15:00,1962,0,0,0
England,Bulgaria,[],7 June 1962,15:00,1962,0,0,0
Yugoslavia,West Germany,[],10 June 1962,14:30,1962,1,0,1
Czechoslovakia,Hungary,[],10 June 1962,14:30,1962,1,0,1
Brazil,England,[],10 June 1962,14:30,1962,3,1,4
Czechoslovakia,Yugoslavia,[],13 June 1962,14:30,1962,3,1,4
Brazil,Chile,[],13 June 1962,14:30,1962,4,2,6
Mexico,Czechoslovakia,[],7 June 1962,15:00,1962,3,1,4
Brazil,Czechoslovakia,[],17 June 1962,14:30,1962,3,1,4
Chile,Soviet Union,[],10 June 1962,14:30,1962,2,1,3
Brazil,Spain,[],6 June 1962,15:00,1962,2,1,3
Chile,Yugoslavia,[],16 June 1962,14:30,1962,1,0,1
Brazil,Czechoslovakia,[],2 June 1962,15:00,1962,0,0,0
Uruguay,Colombia,[],30 May 1962,15:00,1962,2,1,3
Soviet Union,Yugoslavia,[],31 May 1962,15:00,1962,2,0,2
Yugoslavia,Uruguay,[],2 June 1962,15:00,1962,3,1,4
Soviet Union,Colombia,[],3 June 1962,15:00,1962,4,4,8
Soviet Union,Uruguay,[],6 June 1962,15:00,1962,2,1,3
Yugoslavia,Colombia,[],7 June 1962,15:00,1962,5,0,5
Chile,Switzerland,[],30 May 1962,15:00,1962,3,1,4
Spain,Mexico,[],3 June 1962,15:00,1962,1,0,1
Chile,Italy,[],2 June 1962,15:00,1962,2,0,2
West Germany,Switzerland,[],3 June 1962,15:00,1962,2,1,3
West Germany,Chile,[],6 June 1962,15:00,1962,2,0,2
Italy,Switzerland,[],7 June 1962,15:00,1962,3,0,3
Brazil,Mexico,[],30 May 1962,15:00,1962,2,0,2
Czechoslovakia,Spain,[],31 May 1962,15:00,1962,1,0,1
West Germany,Italy,[],31 May 1962,15:00,1962,0,0,0
Hungary,Bulgaria,[],20 July 1966,19:30,1966,3,1,4
Soviet Union,North Korea,[],12 July 1966,19:30,1966,3,0,3
Italy,Chile,[],13 July 1966,19:30,1966,2,0,2
Chile,North Korea,[],15 July 1966,19:30,1966,1,1,2
Soviet Union,Italy,[],16 July 1966,15:00,1966,1,0,1
North Korea,Italy,[],19 July 1966,19:30,1966,1,0,1
Soviet Union,Chile,[],20 July 1966,19:30,1966,2,1,3
