HomeTeam,Score,AwayTeam,Penalties,Date,Time,Year
Hungary ,2–1, England,[],31 May 1962,15:00,1962
England ,3–1, Argentina,[],2 June 1962,15:00,1962
Hungary ,6–1, Bulgaria,[],3 June 1962,15:00,1962
Hungary ,0–0, Argentina,[],6 June 1962,15:00,1962
England ,0–0, Bulgaria,[],7 June 1962,15:00,1962
Chile ,2–1, Soviet Union,[],10 June 1962,14:30,1962
Czechoslovakia ,1–0, Hungary,[],10 June 1962,14:30,1962
Brazil ,3–1, England,[],10 June 1962,14:30,1962
Yugoslavia ,1–0, West Germany,[],10 June 1962,14:30,1962
Czechoslovakia ,3–1, Yugoslavia,[],13 June 1962,14:30,1962
Brazil ,4–2, Chile,[],13 June 1962,14:30,1962
Chile ,1–0, Yugoslavia,[],16 June 1962,14:30,1962
Brazil ,3–1, Czechoslovakia,[],17 June 1962,14:30,1962
England ,0–0, Uruguay,[],11 July 1966,19:30,1966
France ,1–1, Mexico,[],13 July 1966,19:30,1966
Uruguay ,2–1, France,[],15 July 1966,19:30,1966
England ,2–0, Mexico,[],16 July 1966,19:30,1966
Mexico ,0–0, Uruguay,[],19 July 1966,16:30,1966
England ,2–0, France,[],20 July 1966,19:30,1966
West Germany ,5–0,  Switzerland,[],12 July 1966,19:30,1966
Argentina ,2–1, Spain,[],13 July 1966,19:30,1966
Spain ,2–1,  Switzerland,[],15 July 1966,19:30,1966
Argentina ,0–0, West Germany,[],16 July 1966,15:00,1966
Argentina ,2–0,  Switzerland,[],19 July 1966,19:30,1966
West Germany ,2–1, Spain,[],20 July 1966,19:30,1966
Brazil ,2–0, Bulgaria,[],12 July 1966,19:30,1966
Portugal ,3–1, Hungary,[],13 July 1966,19:30,1966
Hungary ,3–1, Brazil,[],15 July 1966,19:30,1966
Portugal ,3–0, Bulgaria,[],16 July 1966,15:00,1966
Portugal ,3–1, Brazil,[],19 July 1966,19:30,1966
Hungary ,3–1, Bulgaria,[],20 July 1966,19:30,1966
Soviet Union ,3–0, North Korea,[],12 July 1966,19:30,1966
Italy ,2–0, Chile,[],13 July 1966,19:30,1966
Chile ,1–1, North Korea,[],15 July 1966,19:30,1966
Soviet Union ,1–0, Italy,[],16 July 1966,15:00,1966
North Korea ,1–0, Italy,[],19 July 1966,19:30,1966
Soviet Union ,2–1, Chile,[],20 July 1966,19:30,1966
England ,1–0, Argentina,[],23 July 1966,15:00,1966
West Germany ,4–0, Uruguay,[],23 July 1966,15:00,1966
Soviet Union ,2–1, Hungary,[],23 July 1966,15:00,1966
Portugal ,5–3, North Korea,[],23 July 1966,15:00,1966
West Germany ,2–1, Soviet Union,[],25 July 1966,19:30,1966
England ,2–1, Portugal,[],26 July 1966,19:30,1966
Portugal ,2–1, Soviet Union,[],28 July 1966,19:30,1966
England ,4–2 (a.e.t.), West Germany,[],30 July 1966,15:00,1966
Mexico ,0–0, Soviet Union,[],31 May 1970,12:00,1970
Belgium ,3–0, El Salvador,[],3 June 1970,16:00,1970
Soviet Union ,4–1, Belgium,[],6 June 1970,16:00,1970
Mexico ,4–0, El Salvador,[],7 June 1970,12:00,1970
Soviet Union ,2–0, El Salvador,[],10 June 1970,16:00,1970
Mexico ,1–0, Belgium,[],11 June 1970,16:00,1970
Uruguay ,2–0, Israel,[],2 June 1970,16:00,1970
Italy ,1–0, Sweden,[],3 June 1970,16:00,1970
Uruguay ,0–0, Italy,[],6 June 1970,16:00,1970
Sweden ,1–1, Israel,[],7 June 1970,12:00,1970
Sweden ,1–0, Uruguay,[],10 June 1970,16:00,1970
Italy ,0–0, Israel,[],11 June 1970,16:00,1970
England ,1–0, Romania,[],2 June 1970,16:00,1970
Brazil ,4–1, Czechoslovakia,[],3 June 1970,16:00,1970
Romania ,2–1, Czechoslovakia,[],6 June 1970,16:00,1970
Brazil ,1–0, England,[],7 June 1970,12:00,1970
Brazil ,3–2, Romania,[],10 June 1970,16:00,1970
England ,1–0, Czechoslovakia,[],11 June 1970,16:00,1970
Peru ,3–2, Bulgaria,[],2 June 1970,16:00,1970
West Germany ,2–1, Morocco,[],3 June 1970,16:00,1970
Peru ,3–0, Morocco,[],6 June 1970,16:00,1970
West Germany ,5–2, Bulgaria,[],7 June 1970,12:00,1970
West Germany ,3–1, Peru,[],10 June 1970,16:00,1970
Bulgaria ,1–1, Morocco,[],11 June 1970,16:00,1970
Soviet Union ,0–1 (a.e.t.), Uruguay,[],14 June 1970,12:00,1970
Italy ,4–1, Mexico,[],14 June 1970,12:00,1970
Brazil ,4–2, Peru,[],14 June 1970,12:00,1970
West Germany ,3–2 (a.e.t.), England,[],14 June 1970,12:00,1970
Uruguay ,1–3, Brazil,[],17 June 1970,16:00,1970
Italy ,4–3 (a.e.t.), West Germany,[],17 June 1970,16:00,1970
Uruguay ,0–1, West Germany,[],20 June 1970,16:00,1970
Brazil ,4–1, Italy,[],21 June 1970,12:00,1970
West Germany ,1–0, Chile,[],14 June 1974,16:00,1974
East Germany ,2–0, Australia,[],14 June 1974,19:30,1974
Australia ,0–3, West Germany,[],18 June 1974,16:00,1974
Chile ,1–1, East Germany,[],18 June 1974,19:30,1974
Australia ,0–0, Chile,[],22 June 1974,16:00,1974
East Germany ,1–0, West Germany,[],22 June 1974,19:30,1974
Brazil ,0–0, Yugoslavia,[],13 June 1974,17:00,1974
Zaire ,0–2, Scotland,[],14 June 1974,19:30,1974
Yugoslavia ,9–0, Zaire,[],18 June 1974,19:30,1974
Scotland ,0–0, Brazil,[],18 June 1974,19:30,1974
Scotland ,1–1, Yugoslavia,[],22 June 1974,16:00,1974
Zaire ,0–3, Brazil,[],22 June 1974,16:00,1974
Uruguay ,0–2, Netherlands,[],15 June 1974,16:00,1974
Sweden ,0–0, Bulgaria,[],15 June 1974,16:00,1974
Bulgaria ,1–1, Uruguay,[],19 June 1974,19:30,1974
Netherlands ,0–0, Sweden,[],19 June 1974,19:30,1974
Bulgaria ,1–4, Netherlands,[],23 June 1974,16:00,1974
Sweden ,3–0, Uruguay,[],23 June 1974,16:00,1974
Italy ,3–1, Haiti,[],15 June 1974,18:00,1974
Poland ,3–2, Argentina,[],15 June 1974,18:00,1974
