HomeTeam,Score,AwayTeam,Penalties,Date,Time,Year
Australia ,1–0, Denmark,[],30 November 2022,18:00,2022
Tunisia ,1–0, France,[],30 November 2022,18:00,2022
Germany ,1–2, Japan,[],23 November 2022,16:00,2022
Spain ,7–0, Costa Rica,[],23 November 2022,19:00,2022
Japan ,0–1, Costa Rica,[],27 November 2022,13:00,2022
Spain ,1–1, Germany,[],27 November 2022,22:00,2022
Japan ,2–1, Spain,[],1 December 2022,22:00,2022
Costa Rica ,2–4, Germany,[],1 December 2022,22:00,2022
Morocco ,0–0, Croatia,[],23 November 2022,13:00,2022
Belgium ,1–0, Canada,[],23 November 2022,22:00,2022
Belgium ,0–2, Morocco,[],27 November 2022,16:00,2022
Croatia ,4–1, Canada,[],27 November 2022,19:00,2022
Croatia ,0–0, Belgium,[],1 December 2022,18:00,2022
Canada ,1–2, Morocco,[],1 December 2022,18:00,2022
Switzerland ,1–0, Cameroon,[],24 November 2022,13:00,2022
Brazil ,2–0, Serbia,[],24 November 2022,22:00,2022
Cameroon ,3–3, Serbia,[],28 November 2022,13:00,2022
Brazil ,1–0,  Switzerland,[],28 November 2022,19:00,2022
Serbia ,2–3,  Switzerland,[],2 December 2022,22:00,2022
Cameroon ,1–0, Brazil,[],2 December 2022,22:00,2022
Uruguay ,0–0, South Korea,[],24 November 2022,16:00,2022
Portugal ,3–2, Ghana,[],24 November 2022,19:00,2022
South Korea ,2–3, Ghana,[],28 November 2022,16:00,2022
Portugal ,2–0, Uruguay,[],28 November 2022,22:00,2022
Ghana ,0–2, Uruguay,[],2 December 2022,18:00,2022
South Korea ,2–1, Portugal,[],2 December 2022,18:00,2022
Netherlands ,3–1, United States,[],3 December 2022,18:00,2022
Argentina ,2–1, Australia,[],3 December 2022,22:00,2022
France ,3–1, Poland,[],4 December 2022,18:00,2022
England ,3–0, Senegal,[],4 December 2022,22:00,2022
Japan ,1–1 (a.e.t.), Croatia,['1–3'],5 December 2022,18:00,2022
Brazil ,4–1, South Korea,[],5 December 2022,22:00,2022
Morocco ,0–0 (a.e.t.), Spain,['3–0'],6 December 2022,18:00,2022
Portugal ,6–1,  Switzerland,[],6 December 2022,22:00,2022
Croatia ,1–1 (a.e.t.), Brazil,['4–2'],9 December 2022,18:00,2022
Netherlands ,2–2 (a.e.t.), Argentina,['3–4'],9 December 2022,22:00,2022
Morocco ,1–0, Portugal,[],10 December 2022,18:00,2022
England ,1–2, France,[],10 December 2022,22:00,2022
Argentina ,3–0, Croatia,[],13 December 2022,22:00,2022
France ,2–0, Morocco,[],14 December 2022,22:00,2022
Croatia ,2–1, Morocco,[],17 December 2022,18:00,2022
Argentina ,3–3 (a.e.t.), France,['4–2'],18 December 2022,18:00,2022
